GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,Yes,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,Yes,,,,,,
O_Ins_off_hlth_prof,Smoking cessation support is cost-covered in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,No,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,No,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,No,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,No,,,,,,
O_Avail_community,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,No,,,,,,
W-MM_Group,Anti-tobacco mass media campaigns,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2723,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,Not applicable,,,,,,
P8_pub_transp,Smoke-free public transport (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1239,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes,,,,,,
W-MM_Group,Anti-tobacco mass media campaigns,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2723,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,3,,,,,,
E_compl_e15,Compliance with ban on sponsorship (contributions and/or publicity of contributions) (score),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1295,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,8,8.00000,,,,,
O_Group,Offer help to quit tobacco use,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/343,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,3,,,,,,
P_Group,Protect from tobacco smoke,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/341,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,2,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,Missing value,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,Yes in some,,,,,,
O_Avail_hlth_clin,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,No,,,,,,
O_Avail_other,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,Yes in some,,,,,,
O_Avail_hlth_clin,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes in some,,,,,,
P_compl_p7,Compliance with smoke-free pubs and bars law (score),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1265,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,7,7.00000,,,,,
O_Avail_off_hlth_prof,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes in some,,,,,,
O_Avail_off_hlth_prof,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,Yes in some,,,,,,
O_Ins_community,Smoking cessation support is cost-covered in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,Not applicable,,,,,,
O_Ins_community,Smoking cessation support is cost-covered in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Not applicable,,,,,,
O_Ins_hlth_clin,Smoking cessation support is cost-covered in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,Not applicable,,,,,,
O_Ins_hlth_clin,Smoking cessation support is cost-covered in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,No,,,,,,
E_compl_e10,Compliance with ban on promotional discounts (score),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1295,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,8,8.00000,,,,,
P5_indoor_off,Smoke-free indoor offices (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1236,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes,,,,,,
P5_indoor_off,Smoke-free indoor offices (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1236,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,Yes,,,,,,
P5_indoor_off,Smoke-free indoor offices (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1236,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,No,,,,,,
P5_indoor_off,Smoke-free indoor offices (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1236,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes,,,,,,
O_Ins_hosp,Smoking cessation support is cost-covered in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,Fully,,,,,,
P3_universities,Smoke-free universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1234,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,Yes,,,,,,
P3_universities,Smoke-free universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1234,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes,,,,,,
P_compl_p2,Compliance with smoke-free education facilities except universities law (score),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1265,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,10,10.00000,,,,,
P_compl_p3,Compliance with smoke-free universities law (score),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1265,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,7,7.00000,,,,,
P_compl_p6,Compliance with smoke-free restaurants law (score),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1265,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,10,10.00000,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,. . .,,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,. . .,,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,. . .,,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,. . .,,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,. . .,,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,. . .,,,,,,
NTCP_govt_exp,Annual budget for tobacco control in currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1289,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,. . .,,,,,,
NTCP_govt_exp,Annual budget for tobacco control in currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1289,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,. . .,,,,,,
NTCP_budget_year,Budget year,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1294,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,. . .,,,,,,
P_count_places_sf,Number of places smoke-free (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1312,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,8,8.00000,,,,,
P11_fines_any,Fines for violations of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,No,,,,,,
P13_fines_smoker,Fines on the patrons of establishments for violations of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,Not applicable,,,,,,
P15_complaints,Citizen complaints and investigations of violations of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes,,,,,,
P11_fines_any,Fines for violations of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes,,,,,,
P14_funds_for_enforce,Dedicated funds for enforcement of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,No,,,,,,
P13_fines_smoker,Fines on the patrons of establishments for violations of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,No,,,,,,
P12_fines_establishment,Fines on the establishment for violations of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,Yes,,,,,,
P13_fines_smoker,Fines on the patrons of establishments for violations of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,No,,,,,,
P_count_places_sf,Number of places smoke-free (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1312,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,8,8.00000,,,,,
P13_fines_smoker,Fines on the patrons of establishments for violations of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,No,,,,,,
P14_funds_for_enforce,Dedicated funds for enforcement of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,No,,,,,,
P14_funds_for_enforce,Dedicated funds for enforcement of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,No,,,,,,
P_count_places_sf,Number of places smoke-free (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1312,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,8,8.00000,,,,,
P15_complaints,Citizen complaints and investigations of violations of smoke-free laws,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,Yes,,,,,,
O_NRT_ins,Nicotine replacement therapy - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,Partially,,,,,,
O_Cytisine_where,Cytisine - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,Not applicable,,,,,,
O_Varen_sold,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,Yes,,,,,,
O_Varen_ins,Varenicline - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,Partially,,,,,,
O_Bup_sold,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,Yes,,,,,,
O_Cytisine_sold,Cytisine - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,No,,,,,,
O_Cytisine_sold,Cytisine - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,. . .,,,,,,
O_Varen_ins,Varenicline - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,No,,,,,,
O_NRT_ins,Nicotine replacement therapy - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,No,,,,,,
O_NRT_sold,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2012,2012,,AMR,Americas,,COL,2012,2012,Colombia,,,,,Yes,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2022,2022,,AMR,Americas,,COL,2022,2022,Colombia,,,,,Partially,,,,,,
O_Varen_where,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,In a pharmacy with a prescription,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,No,,,,,,
O_NRT_EML,Nicotine replacement therapy - on the Essential Medicines List,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4575,PUBLISHED,Published,,2014,2014,,AMR,Americas,,COL,2014,2014,Colombia,,,,,No,,,,,,
O_Varen_where,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,In a pharmacy with a prescription,,,,,,
O_NRT_EML,Nicotine replacement therapy - on the Essential Medicines List,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4575,PUBLISHED,Published,,2010,2010,,AMR,Americas,,COL,2010,2010,Colombia,,,,,No,,,,,,
O_Bup_sold,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,Yes,,,,,,
O_Cytisine_sold,Cytisine - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,. . .,,,,,,
O_NRT_sold,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,Yes,,,,,,
O_Cytisine_ins,Cytisine - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,. . .,,,,,,
O_NRT_ins,Nicotine replacement therapy - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2008,2008,,AMR,Americas,,COL,2008,2008,Colombia,,,,,No,,,,,,
O_NRT_sold,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,Yes,,,,,,
O_Cytisine_ins,Cytisine - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,. . .,,,,,,
O_Varen_sold,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,Yes,,,,,,
O_Varen_ins,Varenicline - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,No,,,,,,
O_Bup_ins,Bupropion - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,No,,,,,,
O_NRT_ins,Nicotine replacement therapy - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2007,2007,,AMR,Americas,,COL,2007,2007,Colombia,,,,,No,,,,,,
O_NRT_ins,Nicotine replacement therapy - cost covered,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4574,PUBLISHED,Published,,2016,2016,,AMR,Americas,,COL,2016,2016,Colombia,,,,,Partially,,,,,,
E4_intl_print,Ban on advertising in international magazines and newspapers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1304,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes,,,,,,
E13_brand_placement,Ban on appearance of tobacco brands in TV and/or films (product placement),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2756,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes,,,,,,
E3_nat_print,Ban on advertising in local magazines and newspapers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1307,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes,,,,,,
E2_intl_tv_radio,Ban on advertising on international television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1305,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,2018,2018,Colombia,,,,,Yes,,,,,,
E7_internet,Ban on advertising on the internet,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1306,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,Yes,,,,,,
E4_intl_print,Ban on advertising in international magazines and newspapers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1304,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,Yes,,,,,,
E11_brand_stretching,Ban on identifying non-tobacco products with tobacco brand names,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1310,PUBLISHED,Published,,2020,2020,,AMR,Americas,,COL,2020,2020,Colombia,,,,,Yes,,,,,,
