GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
P_compl_p8,Compliance with smoke-free public transport law (score),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1265,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,Not applicable,,,,,,
E_compl_e3,Compliance with ban on advertising in local magazines and newspapers (score),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1286,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,7,7.00000,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,No,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,No,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,No,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,No,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,No,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,No,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,No,,,,,,
E_compl_e5,Compliance with ban on billboard and outdoor advertising (score),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1286,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,10,10.00000,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,No,,,,,,
P6_restaurants,Smoke-free restaurants (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1329,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,No,,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,EUR,,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,EUR,,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,EUR,,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,EUR,,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,EUR,,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,EUR,,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,4,4.00000,,,,,
NTCP_curr,National tobacco control budget - currency reported,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1321,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,EUR,,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,No,,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,No,,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,4,4.00000,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,No,,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,No,,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,No,,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,4,4.00000,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,4,4.00000,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,4,4.00000,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,No,,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,4,4.00000,,,,,
NTCP_FTE,Number of full-time equivalent staff in national agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1311,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,4,4.00000,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,No,,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,No,,,,,,
W_Group,Warn about the dangers of tobacco,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1221,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,5,,,,,,
W_Group,Warn about the dangers of tobacco,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1221,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,3,,,,,,
W_Group,Warn about the dangers of tobacco,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1221,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,5,,,,,,
P7_pubs,"Smoke-free pubs, bars and cafés (national legislation)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1238,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,No,,,,,,
W_Group,Warn about the dangers of tobacco,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1221,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,3,,,,,,
W_Group,Warn about the dangers of tobacco,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1221,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,3,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,No,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,4,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,3,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,4,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,No,,,,,,
W_Group,Warn about the dangers of tobacco,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1221,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,3,,,,,,
W_Group,Warn about the dangers of tobacco,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1221,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,3,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,No,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,4,,,,,,
W_Group,Warn about the dangers of tobacco,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1221,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,5,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,4,,,,,,
W_Group,Warn about the dangers of tobacco,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1221,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,5,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,4,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,4,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,No,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,4,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,No,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,3,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,No,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,No,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,No,,,,,,
P2_education,Smoke-free education facilities except universities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1233,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,No,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,Missing value,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,4,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,Partially,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,4,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,Partially,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,Partially,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,4,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,4,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,Partially,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,Missing value,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,4,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,4,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,4,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,Partially,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,Yes,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,Partially,,,,,,
O_Ins_other,Smoking cessation support is cost-covered in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4573,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,Partially,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,4,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,Yes,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,Yes,,,,,,
M_Group,Monitor,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/339,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,4,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,Yes,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,Yes,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,Yes,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,Yes,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,Yes,,,,,,
O_Quitline,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,Yes,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,No,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,No,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,Yes,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,No,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,No,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2008,2008,,EUR,Europe,,DEU,2008,2008,Germany,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,Yes,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,No,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,Yes,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,No,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,No,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,Yes,,,,,,
NTCP_govt_obj,Government objectives on tobacco control exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1303,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,Yes,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,No,,,,,,
P4_govt,Smoke-free government facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1235,PUBLISHED,Published,,2022,2022,,EUR,Europe,,DEU,2022,2022,Germany,,,,,No,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2007,2007,,EUR,Europe,,DEU,2007,2007,Germany,,,,,No,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DEU,2016,2016,Germany,,,,,No,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2020,2020,,EUR,Europe,,DEU,2020,2020,Germany,,,,,No,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,2018,2018,Germany,,,,,No,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2014,2014,,EUR,Europe,,DEU,2014,2014,Germany,,,,,No,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,2010,2010,Germany,,,,,No,,,,,,
P1_healthcare,Smoke-free health-care facilities (national legislation),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1232,PUBLISHED,Published,,2012,2012,,EUR,Europe,,DEU,2012,2012,Germany,,,,,No,,,,,,
